X,Y,gml_id,beginLifespanVersion,conditionOfConstruction,beginning,end,endLifespanVersion,informationSystem,reference,localId,namespace,horizontalGeometryEstimatedAccuracy,horizontalGeometryEstimatedAccuracy_uom,horizontalGeometryReference,referenceGeometry,currentUse,numberOfBuildingUnits,numberOfDwellings,numberOfFloorsAboveGround,documentLink,format,sourceStatus,officialAreaReference,value,value_uom
293433.751436266,4604622.966,ES.SDGC.BU.3549506BG9034N,2009-12-14T00:00:00,functional,1968-01-01T00:00:00,1968-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549506&rc2=BG9034N,3549506BG9034N,3549506BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"5","2",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549506BG9034N,jpeg,NotOfficial,grossFloorArea,"810",m2
293442.796636613,4604616.1925,ES.SDGC.BU.3549507BG9034N,2006-08-28T00:00:00,functional,1970-01-01T00:00:00,1970-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549507&rc2=BG9034N,3549507BG9034N,3549507BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"3","2",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549507BG9034N,jpeg,NotOfficial,grossFloorArea,"592",m2
293383.661886453,4604720.9292505,ES.SDGC.BU.3549509BG9034N,2006-08-28T00:00:00,functional,1989-01-01T00:00:00,1989-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549509&rc2=BG9034N,3549509BG9034N,3549509BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"1","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549509BG9034N,jpeg,NotOfficial,grossFloorArea,"424",m2
293429.403488608,4604608.63899999,ES.SDGC.BU.3549510BG9034N,2006-08-28T00:00:00,functional,1995-01-01T00:00:00,1995-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549510&rc2=BG9034N,3549510BG9034N,3549510BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"1","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549510BG9034N,jpeg,NotOfficial,grossFloorArea,"259",m2
293364.036692225,4604755.88250013,ES.SDGC.BU.3549801BG9034N,2005-07-07T00:00:00,functional,1960-01-01T00:00:00,1960-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3549801&rc2=BG9034N,3549801BG9034N,3549801BG9034N,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3549801BG9034N,jpeg,NotOfficial,grossFloorArea,"19",m2
293367.85528078,4604870.4525,ES.SDGC.BU.3551701BG9035S,2006-08-28T00:00:00,functional,1975-01-01T00:00:00,1975-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3551701&rc2=BG9035S,3551701BG9035S,3551701BG9035S,ES.SDGC.BU,0.1,m,footPrint,"1",4_3_publicServices,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3551701BG9035S,jpeg,NotOfficial,grossFloorArea,"8074",m2
293420.691596061,4604782.98625,ES.SDGC.BU.3551701BG9035S,2006-08-28T00:00:00,functional,1975-01-01T00:00:00,1975-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3551701&rc2=BG9035S,3551701BG9035S,3551701BG9035S,ES.SDGC.BU,0.1,m,footPrint,"1",4_3_publicServices,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3551701BG9035S,jpeg,NotOfficial,grossFloorArea,"8074",m2
293407.961209855,4604839.92925,ES.SDGC.BU.3551701BG9035S,2006-08-28T00:00:00,functional,1975-01-01T00:00:00,1975-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3551701&rc2=BG9035S,3551701BG9035S,3551701BG9035S,ES.SDGC.BU,0.1,m,footPrint,"1",4_3_publicServices,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3551701BG9035S,jpeg,NotOfficial,grossFloorArea,"8074",m2
293417.537991043,4604829.7745,ES.SDGC.BU.3551701BG9035S,2006-08-28T00:00:00,functional,1975-01-01T00:00:00,1975-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3551701&rc2=BG9035S,3551701BG9035S,3551701BG9035S,ES.SDGC.BU,0.1,m,footPrint,"1",4_3_publicServices,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3551701BG9035S,jpeg,NotOfficial,grossFloorArea,"8074",m2
293437.589403804,4604862.566,ES.SDGC.BU.3551701BG9035S,2006-08-28T00:00:00,functional,1975-01-01T00:00:00,1975-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3551701&rc2=BG9035S,3551701BG9035S,3551701BG9035S,ES.SDGC.BU,0.1,m,footPrint,"1",4_3_publicServices,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3551701BG9035S,jpeg,NotOfficial,grossFloorArea,"8074",m2
293336.600745255,4604957.58575,ES.SDGC.BU.3551703BG9035S,2006-08-28T00:00:00,functional,1975-01-01T00:00:00,1975-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3551703&rc2=BG9035S,3551703BG9035S,3551703BG9035S,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3551703BG9035S,jpeg,NotOfficial,grossFloorArea,"385",m2
293460.448360617,4604992.28474969,ES.SDGC.BU.3552004BG9035S,2006-08-28T00:00:00,functional,1973-01-01T00:00:00,1973-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3552004&rc2=BG9035S,3552004BG9035S,3552004BG9035S,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3552004BG9035S,jpeg,NotOfficial,grossFloorArea,"1196",m2
293470.430843586,4605024.90125019,ES.SDGC.BU.3552004BG9035S,2006-08-28T00:00:00,functional,1973-01-01T00:00:00,1973-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3552004&rc2=BG9035S,3552004BG9035S,3552004BG9035S,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3552004BG9035S,jpeg,NotOfficial,grossFloorArea,"1196",m2
293485.697414151,4604972.1695,ES.SDGC.BU.3552007BG9035S,2009-06-11T00:00:00,functional,2008-01-01T00:00:00,2008-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3552007&rc2=BG9035S,3552007BG9035S,3552007BG9035S,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"1","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3552007BG9035S,jpeg,NotOfficial,grossFloorArea,"2183",m2
293476.600283951,4604961.78649999,ES.SDGC.BU.3552009BG9035S,2009-08-26T00:00:00,functional,2009-01-01T00:00:00,2009-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3552009&rc2=BG9035S,3552009BG9035S,3552009BG9035S,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"24","13",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3552009BG9035S,jpeg,NotOfficial,grossFloorArea,"1615",m2
293461.94834207,4604942.97275,ES.SDGC.BU.3552010BG9035S,2006-08-28T00:00:00,functional,1987-01-01T00:00:00,1987-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3552010&rc2=BG9035S,3552010BG9035S,3552010BG9035S,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"1","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3552010BG9035S,jpeg,NotOfficial,grossFloorArea,"1102",m2
293368.76510946,4605020.11675,ES.SDGC.BU.3552013BG9035S,2015-09-30T00:00:00,functional,2000-01-01T00:00:00,2003-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3552013&rc2=BG9035S,3552013BG9035S,3552013BG9035S,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3552013BG9035S,jpeg,NotOfficial,grossFloorArea,"992",m2
293400.371882995,4604975.4844998,ES.SDGC.BU.3552016BG9035S,2006-08-28T00:00:00,functional,1982-01-01T00:00:00,1982-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3552016&rc2=BG9035S,3552016BG9035S,3552016BG9035S,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3552016BG9035S,jpeg,NotOfficial,grossFloorArea,"179",m2
293521.552033932,4605060.82849954,ES.SDGC.BU.3553005BG9035S,2006-08-28T00:00:00,declined,1889-01-01T00:00:00,1889-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3553005&rc2=BG9035S,3553005BG9035S,3553005BG9035S,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3553005BG9035S,jpeg,NotOfficial,grossFloorArea,"83",m2
