X,Y,gml_id,beginLifespanVersion,conditionOfConstruction,beginning,end,endLifespanVersion,informationSystem,reference,localId,namespace,horizontalGeometryEstimatedAccuracy,horizontalGeometryEstimatedAccuracy_uom,horizontalGeometryReference,referenceGeometry,currentUse,numberOfBuildingUnits,numberOfDwellings,numberOfFloorsAboveGround,documentLink,format,sourceStatus,officialAreaReference,value,value_uom
297904.127875253,4614305.14000071,ES.SDGC.BU.25023A00100049,2017-05-24T00:00:00,functional,2014-01-01T00:00:00,2014-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100049,25023A00100049,25023A00100049,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"2","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100049,jpeg,NotOfficial,grossFloorArea,"681",m2
298507.170891248,4614279.735,ES.SDGC.BU.25023A00100052,2017-05-24T00:00:00,functional,2014-01-01T00:00:00,2014-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100052,25023A00100052,25023A00100052,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"2","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100052,jpeg,NotOfficial,grossFloorArea,"81",m2
297535.082749696,4614289.31999948,ES.SDGC.BU.25023A00100056,2017-05-24T00:00:00,functional,2012-01-01T00:00:00,2012-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100056,25023A00100056,25023A00100056,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100056,jpeg,NotOfficial,grossFloorArea,"508",m2
297388.944864425,4614064.85,ES.SDGC.BU.25023A00100059,2017-05-24T00:00:00,functional,2014-01-01T00:00:00,2014-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100059,25023A00100059,25023A00100059,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100059,jpeg,NotOfficial,grossFloorArea,"85",m2
297403.489604587,4614069.715,ES.SDGC.BU.25023A00100059,2017-05-24T00:00:00,functional,2014-01-01T00:00:00,2014-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100059,25023A00100059,25023A00100059,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100059,jpeg,NotOfficial,grossFloorArea,"85",m2
297275.124769177,4614062.36020003,ES.SDGC.BU.25023A00100060,2018-07-26T00:00:00,functional,1933-01-01T00:00:00,2016-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100060,25023A00100060,25023A00100060,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100060,jpeg,NotOfficial,grossFloorArea,"1679",m2
297291.95286809,4614055.77077501,ES.SDGC.BU.25023A00100060,2018-07-26T00:00:00,functional,1933-01-01T00:00:00,2016-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100060,25023A00100060,25023A00100060,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100060,jpeg,NotOfficial,grossFloorArea,"1679",m2
297290.309625533,4614042.085,ES.SDGC.BU.25023A00100060,2018-07-26T00:00:00,functional,1933-01-01T00:00:00,2016-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100060,25023A00100060,25023A00100060,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100060,jpeg,NotOfficial,grossFloorArea,"1679",m2
297298.515,4614007.68,ES.SDGC.BU.25023A00100060,2018-07-26T00:00:00,functional,1933-01-01T00:00:00,2016-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100060,25023A00100060,25023A00100060,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100060,jpeg,NotOfficial,grossFloorArea,"1679",m2
297301.634011866,4614061.53614989,ES.SDGC.BU.25023A00100060,2018-07-26T00:00:00,functional,1933-01-01T00:00:00,2016-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100060,25023A00100060,25023A00100060,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100060,jpeg,NotOfficial,grossFloorArea,"1679",m2
297301.722931802,4614033.5495,ES.SDGC.BU.25023A00100060,2018-07-26T00:00:00,functional,1933-01-01T00:00:00,2016-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100060,25023A00100060,25023A00100060,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100060,jpeg,NotOfficial,grossFloorArea,"1679",m2
298007.520855496,4615328.475,ES.SDGC.BU.25023A00200016,2017-05-24T00:00:00,functional,2008-01-01T00:00:00,2008-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0200016,25023A00200016,25023A00200016,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00200016,jpeg,NotOfficial,grossFloorArea,"46",m2
297839.95,4615164.615,ES.SDGC.BU.25023A00200017,2017-05-24T00:00:00,functional,2000-01-01T00:00:00,2000-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0200017,25023A00200017,25023A00200017,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00200017,jpeg,NotOfficial,grossFloorArea,"56",m2
296919.745346707,4615315.08399922,ES.SDGC.BU.25023A00200023,2017-05-24T00:00:00,functional,2000-01-01T00:00:00,2000-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0200023,25023A00200023,25023A00200023,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00200023,jpeg,NotOfficial,grossFloorArea,"150",m2
297224.240061251,4615230.545,ES.SDGC.BU.25023A00200028,2017-05-24T00:00:00,functional,2014-01-01T00:00:00,2014-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0200028,25023A00200028,25023A00200028,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00200028,jpeg,NotOfficial,grossFloorArea,"265",m2
297370.419733175,4615164.24,ES.SDGC.BU.25023A00200029,2017-05-24T00:00:00,functional,2008-01-01T00:00:00,2008-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0200029,25023A00200029,25023A00200029,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00200029,jpeg,NotOfficial,grossFloorArea,"66",m2
298004.356320422,4615063.83,ES.SDGC.BU.25023A00200033,2017-05-24T00:00:00,functional,2008-01-01T00:00:00,2008-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0200033,25023A00200033,25023A00200033,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00200033,jpeg,NotOfficial,grossFloorArea,"32",m2
297416.676656116,4614835.18500089,ES.SDGC.BU.25023A00200060,2017-05-24T00:00:00,functional,2011-01-01T00:00:00,2011-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0200060,25023A00200060,25023A00200060,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00200060,jpeg,NotOfficial,grossFloorArea,"445",m2
297449.850846214,4614847.225,ES.SDGC.BU.25023A00200060,2017-05-24T00:00:00,functional,2011-01-01T00:00:00,2011-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0200060,25023A00200060,25023A00200060,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00200060,jpeg,NotOfficial,grossFloorArea,"445",m2
296836.304706119,4614845.37,ES.SDGC.BU.25023A00200067,2017-05-24T00:00:00,functional,2010-01-01T00:00:00,2010-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0200067,25023A00200067,25023A00200067,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"2","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00200067,jpeg,NotOfficial,grossFloorArea,"72",m2
