"year","postalcode","percentagepopulationover65","percentagepopulationunder18","percentagesinglepersonhouseholds","population","incomesperhousehold","netincomesperhousehold","incomesperunitofconsumption","grossincomesperperson","netincomesperperson","incomessourceisotherbenefits","incomessourceisotherincomes","incomessourceispension","incomessourceisunemploymentbenefit","incomessourceissalary","giniindex","incomesratioq80byq20","averagepopulationage","peopleperhousehold"
2018,"25006",24.04866847114293,14.437549113769318,32.526730987514185,22906,45464,36806,22189,18770,15201,848,2904,4850,214,9946,34,3,46,2
2019,"25006",24.501080939720172,14.28581702480059,32.356949832192825,22943,47230,38209,22914,19502,15780,870,2971,5053,228,10370,34,3,46,2
2020,"25006",25.03259223171974,14.441038132778246,32.959550910137736,22579,47103,38172,22990,19618,15904,937,2720,5230,554,10168,33,3,46,2
2021,"25006",25.447410483078844,14.226672024287883,32.98383784266453,22398,50753,39987,24112,21163,16682,934,3526,5324,369,11008,33,2,46,2
2022,"25006",25.447410483078844,14.226672024287883,32.98383784266453,22398,50753,39987,24112,21163,16682,934,3526,5324,369,11008,33,2,46,2
2023,"25006",25.447410483078844,14.226672024287883,32.98383784266453,22398,50753,39987,24112,21163,16682,934,3526,5324,369,11008,33,2,46,2
2024,"25006",25.447410483078844,14.226672024287883,32.98383784266453,22398,50753,39987,24112,21163,16682,934,3526,5324,369,11008,33,2,46,2
2015,"25007",13.247093578148434,17.420542653274556,33.48598827432623,22003,31497,26375,15044,12266,10263,494,1497,2196,352,7724,37,3,40,2
2016,"25007",13.562018290186089,17.674625779152827,32.51481414077073,21979,32460,27125,15508,12629,10545,513,1454,2273,308,8078,38,3,40,2
2017,"25007",13.904559339807594,17.611530570373407,33.24600829799845,21933,33671,28081,16246,13254,11047,574,1518,2338,292,8530,35,3,40,2
2018,"25007",13.832511604849252,17.418207219793597,33.02693226373428,22189,35159,29241,16889,13835,11499,678,1624,2406,304,8821,35,3,40,2
2019,"25007",14.226968856273494,17.418704134598176,32.5951270807231,22348,36986,30659,17845,14561,12063,702,1646,2515,317,9379,34,3,40,2
2020,"25007",14.33468533357342,17.261470243990274,32.88466282524534,22214,36970,30735,17867,14705,12219,792,1439,2641,687,9145,34,3,41,2
2021,"25007",14.574223602484473,16.981109910883067,32.840827257178866,22218,39107,32160,18656,15501,12738,792,1703,2584,485,9935,33,2,41,2
2022,"25007",14.574223602484473,16.981109910883067,32.840827257178866,22218,39107,32160,18656,15501,12738,792,1703,2584,485,9935,33,2,41,2
2023,"25007",14.574223602484473,16.981109910883067,32.840827257178866,22218,39107,32160,18656,15501,12738,792,1703,2584,485,9935,33,2,41,2
2024,"25007",14.574223602484473,16.981109910883067,32.840827257178866,22218,39107,32160,18656,15501,12738,792,1703,2584,485,9935,33,2,41,2
2015,"25008",21.27820638020833,15.500640190972222,32.643717447916664,18432,37441,30878,17985,15010,12367,627,2256,3812,275,8038,37,3,44,2
2016,"25008",21.45631369556924,15.418115428633714,32.41766853779498,18349,38472,31789,18516,15415,12726,666,2144,3981,246,8375,37,3,44,2
2017,"25008",21.586640867716792,15.811407859595576,32.463579876819104,18347,38895,31994,18786,15672,12877,703,2067,3996,241,8663,35,3,44,2
2018,"25008",21.77515148236313,15.832190002164035,32.622132655269425,18484,40950,33615,19760,16567,13584,760,2425,4190,244,8946,35,3,44,2
2019,"25008",21.775286957450213,16.09507767871443,31.717996903528913,18731,42396,34904,20290,16982,13964,786,2300,4314,247,9333,35,3,44,2
2020,"25008",22.057472130970975,16.239016640637622,32.443874198933706,18569,42565,34997,20407,17171,14106,860,2075,4469,587,9178,35,3,44,2
2021,"25008",22.20413893064205,16.032075370410134,32.30344105647413,18628,44478,35673,20954,17977,14407,839,2443,4559,379,9755,34,3,45,2
2022,"25008",22.20413893064205,16.032075370410134,32.30344105647413,18628,44478,35673,20954,17977,14407,839,2443,4559,379,9755,34,3,45,2
2023,"25008",22.20413893064205,16.032075370410134,32.30344105647413,18628,44478,35673,20954,17977,14407,839,2443,4559,379,9755,34,3,45,2
2024,"25008",22.20413893064205,16.032075370410134,32.30344105647413,18628,44478,35673,20954,17977,14407,839,2443,4559,379,9755,34,3,45,2
2015,"25110",16.12804120049725,20.513900728112237,21.749511632036942,22524,45963,37162,20306,15999,12959,505,3050,2496,236,9711,31,2,41,2
2016,"25110",16.219839236816536,20.8564084444837,21.677435738892324,22642,47983,38462,21067,16707,13414,540,3263,2465,223,10215,31,2,41,2
2017,"25110",16.848881760670054,20.44589236389557,23.136786064332174,22446,48754,39106,21636,17262,13869,531,3059,2667,184,10819,30,2,41,2
2018,"25110",18.08140088684513,20.120208572836262,22.854746263754315,24356,50743,40436,22447,18101,14448,631,3362,2872,190,11045,31,2,42,2
2019,"25110",18.54183902419124,19.48896911842696,22.97235344511076,24513,53208,42269,23464,19068,15164,667,3439,3036,201,11723,29,2,43,2
2020,"25110",18.773198189011705,19.271627850063215,23.15818411714321,24517,54781,43550,24224,19723,15700,760,3310,3224,479,11949,29,2,43,2
2021,"25110",19.106829645297758,19.28987146111292,23.42013097949886,24584,58706,45117,25179,21223,16330,732,4027,3260,299,12903,29,2,43,2
2022,"25110",19.106829645297758,19.28987146111292,23.42013097949886,24584,58706,45117,25179,21223,16330,732,4027,3260,299,12903,29,2,43,2
2023,"25110",19.106829645297758,19.28987146111292,23.42013097949886,24584,58706,45117,25179,21223,16330,732,4027,3260,299,12903,29,2,43,2
2024,"25110",19.106829645297758,19.28987146111292,23.42013097949886,24584,58706,45117,25179,21223,16330,732,4027,3260,299,12903,29,2,43,2
2015,"25111",16.43527508090615,20.196057664018827,25.155942924389525,6798,35085,29458,16705,12881,10831,370,2549,2199,254,7508,29,2,41,2
2016,"25111",16.526081219762496,20.650505790939746,25.05937545814397,6821,36077,30194,17129,13214,11074,389,2429,2175,224,7995,29,2,41,2
2017,"25111",16.663024085637822,20.21344038061255,26.5187927445733,6726,37611,31286,17899,13928,11599,389,2484,2311,208,8534,29,2,41,2
2018,"25111",16.699705275567343,20.48116710875331,25.825744179192455,6786,39538,32700,18595,14613,12093,440,2693,2363,232,8884,29,2,41,2
2019,"25111",17.107425378620793,20.175812380532275,26.403425966769593,6801,41117,33796,19301,15265,12548,483,2644,2473,227,9437,28,2,42,2
2020,"25111",17.00437869822485,20.045636094674556,26.426449704142016,6760,41992,34542,19878,15757,12961,580,2473,2603,452,9647,28,2,42,2
2021,"25111",17.230843337779756,19.8654957759004,26.58537127612272,6747,45572,36489,21076,17309,13853,561,3079,2664,309,10696,27,2,42,2
2022,"25111",17.230843337779756,19.8654957759004,26.58537127612272,6747,45572,36489,21076,17309,13853,561,3079,2664,309,10696,27,2,42,2
2023,"25111",17.230843337779756,19.8654957759004,26.58537127612272,6747,45572,36489,21076,17309,13853,561,3079,2664,309,10696,27,2,42,2
2024,"25111",17.230843337779756,19.8654957759004,26.58537127612272,6747,45572,36489,21076,17309,13853,561,3079,2664,309,10696,27,2,42,2
2015,"25113",24.056024096385542,17.698192771084337,21.372289156626508,2158,39877,33032,18512,14270,11840,371,3298,2636,183,7780,27,2,44,2
2016,"25113",23.8936329588015,18.13314606741573,21.759831460674157,2136,41251,33966,19092,14751,12163,391,3243,2587,167,8362,28,2,44,2
2017,"25113",23.916806331471136,18.050931098696463,21.69236499068901,2148,43045,35264,19798,15463,12678,374,3328,2763,139,8859,29,2,44,2
2018,"25113",24.5131444496052,18.403529958197865,23.115699024616816,2153,44906,36437,20499,16256,13193,432,3517,2838,167,9302,28,2,44,2
2019,"25113",24.773008434864103,17.522680412371134,24.717057169634487,2134,46280,37130,21134,17015,13646,472,3404,3040,173,9925,28,2,45,2
2020,"25113",24.75404255319149,17.094751773049644,25.80581560283688,2115,47934,38599,22102,17823,14344,570,3438,3146,353,10315,28,2,45,2
2021,"25113",24.724605074198184,16.754763044518906,26.035184298707517,2089,53503,41426,23851,20292,15696,583,4421,3251,235,11802,27,2,46,2
2022,"25113",24.724605074198184,16.754763044518906,26.035184298707517,2089,53503,41426,23851,20292,15696,583,4421,3251,235,11802,27,2,46,2
2023,"25113",24.724605074198184,16.754763044518906,26.035184298707517,2089,53503,41426,23851,20292,15696,583,4421,3251,235,11802,27,2,46,2
2024,"25113",24.724605074198184,16.754763044518906,26.035184298707517,2089,53503,41426,23851,20292,15696,583,4421,3251,235,11802,27,2,46,2
2015,"25190",11.435344827586206,21.28103448275862,26.228448275862068,5684,31344,26629,15488,11933,10135,492,827,1723,330,8557,31,2,37,2
2016,"25190",11.439460953697306,21.71437456807187,25.492812715964064,5788,32687,27646,15978,12357,10452,523,802,1744,299,8987,30,2,37,2
2017,"25190",11.647300509337862,21.69504244482173,26.384685908319184,5890,34038,28754,16684,12951,10942,572,841,1835,271,9432,29,2,38,2
2018,"25190",11.722420046158918,21.906890867128258,26.275173095944613,6066,35255,29691,17176,13384,11269,683,850,1841,246,9763,28,2,38,2
2019,"25190",11.959868312757202,21.84870781893004,26.36569547325103,6075,37195,31330,18056,14150,11914,747,887,1922,254,10339,28,2,38,2
2020,"25190",12.504167347605819,21.959241706161137,26.86507599280928,6119,37432,31394,18152,14297,11990,800,810,2014,679,9992,27,2,38,2
2021,"25190",13.147247329498768,21.698438783894822,27.34823336072309,6085,39029,32457,18922,15067,12531,784,919,2157,398,10807,27,2,39,2
2022,"25190",13.147247329498768,21.698438783894822,27.34823336072309,6085,39029,32457,18922,15067,12531,784,919,2157,398,10807,27,2,39,2
2023,"25190",13.147247329498768,21.698438783894822,27.34823336072309,6085,39029,32457,18922,15067,12531,784,919,2157,398,10807,27,2,39,2
2024,"25190",13.147247329498768,21.698438783894822,27.34823336072309,6085,39029,32457,18922,15067,12531,784,919,2157,398,10807,27,2,39,2
2015,"25191",12.94264656048797,20.276507963402235,26.26923076923077,11804,32284,27488,15891,12289,10460,454,1104,1896,341,8490,30,2,38,2
2016,"25191",12.93089241034195,20.607356130108425,25.461618015012508,11990,33664,28528,16373,12714,10771,501,1119,1905,289,8898,30,2,38,2
2017,"25191",13.14573105215307,20.679485907926274,26.235664104471446,12099,34750,29310,17027,13281,11200,531,1129,1991,248,9382,29,2,39,2
2018,"25191",13.375533648362394,20.865463581554504,26.225802509369398,12274,41106,34243,19788,15796,13151,649,3168,2031,248,9699,28,2,39,2
2019,"25191",13.526242914979756,20.94356275303644,26.16498785425101,12350,38118,32074,18565,14528,12222,698,1238,2109,249,10232,28,2,39,2
2020,"25191",13.673705689365447,20.92899895975034,26.370320877010485,12497,38837,32552,18711,14756,12366,759,1171,2183,671,9970,28,2,39,2
2021,"25191",14.146076458752516,20.68169014084507,26.865915492957747,12425,42324,35057,20325,16207,13421,759,1942,2269,389,10847,27,2,40,2
2022,"25191",14.146076458752516,20.68169014084507,26.865915492957747,12425,42324,35057,20325,16207,13421,759,1942,2269,389,10847,27,2,40,2
2023,"25191",14.146076458752516,20.68169014084507,26.865915492957747,12425,42324,35057,20325,16207,13421,759,1942,2269,389,10847,27,2,40,2
2024,"25191",14.146076458752516,20.68169014084507,26.865915492957747,12425,42324,35057,20325,16207,13421,759,1942,2269,389,10847,27,2,40,2
2015,"25192",16.844106312292357,20.290152823920266,27.080093023255813,7525,27019,23685,13281,9999,8758,524,1146,2313,327,5687,33,3,40,2
2016,"25192",16.881344959704055,20.947575637468624,26.657788347205706,7569,27721,24207,13588,10231,8927,550,1136,2334,281,5929,32,3,41,2
2017,"25192",17.067919732441474,20.88941806020067,28.807250836120403,7475,29135,25172,14399,11011,9505,647,1398,2369,252,6339,30,2,41,2
2018,"25192",17.98502630040912,20.231420222092346,26.34515488018703,8555,34404,29256,16523,12712,10805,768,1834,2569,244,7274,30,2,42,2
2019,"25192",17.96126932465419,20.001476229222362,27.05548064628618,8603,36113,30638,17250,13430,11386,821,1811,2690,231,7857,30,2,42,2
2020,"25192",17.990595280028177,19.913948573441353,27.30315838910414,8517,36509,30955,17552,13697,11607,895,1678,2769,524,7797,29,2,43,2
2021,"25192",17.738630490956073,20.16916842847075,26.799130843316888,8514,38141,32013,18145,14285,11985,917,1786,2799,406,8352,29,2,43,2
2022,"25192",17.738630490956073,20.16916842847075,26.799130843316888,8514,38141,32013,18145,14285,11985,917,1786,2799,406,8352,29,2,43,2
2023,"25192",17.738630490956073,20.16916842847075,26.799130843316888,8514,38141,32013,18145,14285,11985,917,1786,2799,406,8352,29,2,43,2
2024,"25192",17.738630490956073,20.16916842847075,26.799130843316888,8514,38141,32013,18145,14285,11985,917,1786,2799,406,8352,29,2,43,2
2015,"25193",16.754710219127585,18.817243497849685,26.826960884702025,9766,33871,28680,16271,12464,10568,399,2144,2301,304,7315,30,2,42,2
2016,"25193",16.99389647442429,19.283829223558186,26.154157326268592,9814,34930,29402,16769,12900,10873,428,2177,2301,280,7712,30,2,42,2
2017,"25193",17.40203932993445,18.6896472791593,28.20371449380918,9611,35740,30068,17316,13407,11293,427,2182,2403,261,8132,29,2,42,2
2018,"25193",18.03719824773977,18.497334327523532,25.517653089756735,10729,39687,32971,18814,14694,12214,556,2613,2618,247,8658,29,2,43,2
2019,"25193",18.128529411764706,18.255735294117645,25.389154411764707,10880,41647,34464,19600,15507,12831,613,2555,2769,254,9315,29,2,43,2
2020,"25193",18.266694444444447,18.092018518518522,25.455453703703707,10800,42167,34947,20027,15849,13134,718,2377,2843,542,9367,29,2,44,2
2021,"25193",18.194998140572704,18.350650799553737,26.167757530680554,10756,45782,37029,21335,17347,14026,721,2910,2932,384,10398,28,2,44,2
2022,"25193",18.194998140572704,18.350650799553737,26.167757530680554,10756,45782,37029,21335,17347,14026,721,2910,2932,384,10398,28,2,44,2
2023,"25193",18.194998140572704,18.350650799553737,26.167757530680554,10756,45782,37029,21335,17347,14026,721,2910,2932,384,10398,28,2,44,2
2024,"25193",18.194998140572704,18.350650799553737,26.167757530680554,10756,45782,37029,21335,17347,14026,721,2910,2932,384,10398,28,2,44,2
2015,"25194",15.849021347052217,18.911418603275973,26.942504878481458,16911,37063,31074,17950,14263,11952,522,1825,2809,265,8841,30,2,42,2
2016,"25194",15.872954465644387,19.385643216668615,26.43394006789184,17086,37944,31743,18396,14615,12221,559,1840,2865,238,9110,30,2,42,2
2017,"25194",16.172342168392724,19.394189924521676,27.845345503481365,17091,39401,32776,19183,15365,12778,574,1991,2964,218,9615,28,2,42,2
2018,"25194",16.093388334391047,19.391778688051698,26.97310332891017,17333,41209,34252,19900,15908,13214,658,2101,3030,223,9895,28,2,42,2
2019,"25194",16.30521818911635,19.12947990137049,26.99381271861919,17439,42704,35171,20664,16573,13635,677,1990,3232,226,10445,27,2,43,2
2020,"25194",16.583438287153655,19.30309709182505,26.775389283260818,17468,43276,35914,20873,16805,13938,773,1866,3292,543,10329,27,2,43,2
2021,"25194",16.78043216598842,19.133518656502552,27.092233621826104,17447,45451,37299,21807,17820,14612,742,2167,3415,336,11158,27,2,43,2
2022,"25194",16.78043216598842,19.133518656502552,27.092233621826104,17447,45451,37299,21807,17820,14612,742,2167,3415,336,11158,27,2,43,2
